,config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
56,57,ae1_lat75_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.75,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028247135,0.052115146070718765,0.028247134760022163,0.0067489045,0.02149823,False,0.0031995466,0.02504759,False,success
102,103,ae2_lat50_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.028280506,0.05239450931549072,0.02828051708638668,0.0067489045,0.0215316,False,0.0031995466,0.02508096,False,success
190,191,ae3_lat50_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.5,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.02837265,0.0375245101749897,0.02837265096604824,0.0067489045,0.021623746,False,0.0031995466,0.025173102,False,success
72,73,ae2_lat25_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.25,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02839838,0.041223276406526566,0.028398379683494568,0.0067489045,0.021649476,False,0.0031995466,0.025198832,False,success
112,113,ae2_lat50_hd3_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.5,3,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028497249,0.053750667721033096,0.028497254475951195,0.0067489045,0.021748345,False,0.0031995466,0.025297701,False,success
46,47,ae1_lat50_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.5,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.028501866,0.04376213252544403,0.028501860797405243,0.0067489045,0.021752961,False,0.0031995466,0.02530232,False,success
104,105,ae2_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028512055,0.043161991983652115,0.029124489054083824,0.0067489045,0.02176315,False,0.0031995466,0.02531251,False,success
126,127,ae2_lat75_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,2,0.75,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.028527236,0.036037102341651917,0.028527241200208664,0.0067489045,0.02177833,False,0.0031995466,0.02532769,False,success
37,38,ae1_lat50_hd2_gru_m40_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.028527847,0.03911428153514862,0.02852785587310791,0.0067489045,0.021778941,False,0.0031995466,0.0253283,False,success
40,41,ae1_lat50_hd3_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,3,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028532125,0.04462634027004242,0.0285321231931448,0.0067489045,0.021783222,False,0.0031995466,0.025332578,False,success
164,165,ae3_lat25_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.25,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028557865,0.03628414124250412,0.029187921434640884,0.0067489045,0.02180896,False,0.0031995466,0.02535832,False,success
121,122,ae2_lat75_hd1_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.75,1,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.028650628,0.0354636088013649,0.028650633990764618,0.0067489045,0.021901723,False,0.0031995466,0.025451083,False,success
73,74,ae2_lat25_hd1_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.25,1,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.028658157,0.055151037871837616,0.02865815907716751,0.0067489045,0.021909252,False,0.0031995466,0.025458612,False,success
123,124,ae2_lat75_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,2,0.75,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.028750103,0.055832672864198685,0.02875009924173355,0.0067489045,0.0220012,False,0.0031995466,0.025550555,False,success
212,213,ae3_lat75_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.75,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028795378,0.050086114555597305,0.028924182057380676,0.0067489045,0.022046473,False,0.0031995466,0.025595833,False,success
181,182,ae3_lat50_hd2_gru_m40_relu_adam_lr0.001_bs64_mae,3,0.5,2,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.028977588,0.0372934564948082,0.02938627451658249,0.0067489045,0.022228684,False,0.0031995466,0.02577804,False,success
6,7,ae1_lat25_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.25,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.029031333,0.08604741841554642,0.02903132326900959,0.0067489045,0.022282429,False,0.0031995466,0.025831785,False,success
141,142,ae2_lat75_hd3_gru_m40_relu_adam_lr0.001_bs64_mae,2,0.75,3,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.029088188,0.0507095530629158,0.030044643208384514,0.0067489045,0.022339284,False,0.0031995466,0.02588864,False,success
85,86,ae2_lat25_hd2_gru_m40_relu_adam_lr0.001_bs64_mae,2,0.25,2,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.029137727,0.052909333258867264,0.029137732461094856,0.0067489045,0.022388823,False,0.0031995466,0.02593818,False,success
144,145,ae3_lat25_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,3,0.25,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.029140646,0.053973209112882614,0.029140643775463104,0.0067489045,0.02239174,False,0.0031995466,0.0259411,False,success
118,119,ae2_lat50_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,2,0.5,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.029280711,0.03971052169799805,0.030399911105632782,0.0067489045,0.022531807,False,0.0031995466,0.026081163,False,success
117,118,ae2_lat50_hd3_gru_m40_relu_adam_lr0.001_bs64_mae,2,0.5,3,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.029283343,0.043117884546518326,0.03029688261449337,0.0067489045,0.022534437,False,0.0031995466,0.026083797,False,success
32,33,ae1_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.029338382,0.048228584229946136,0.030106019228696823,0.0067489045,0.022589479,False,0.0031995466,0.026138835,False,success
15,16,ae1_lat25_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.25,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.029437391,0.05807991698384285,0.029437391087412834,0.0067489045,0.022688486,False,0.0031995466,0.026237845,False,success
134,135,ae2_lat75_hd2_gru_m60_relu_adam_lr0.001_bs64_mae,2,0.75,2,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.02944251,0.03263317048549652,0.02944251336157322,0.0067489045,0.022693604,False,0.0031995466,0.026242964,False,success
59,60,ae1_lat75_hd2_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.75,2,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.029509583,0.04201463609933853,0.02950958162546158,0.0067489045,0.022760678,False,0.0031995466,0.026310038,False,success
100,101,ae2_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.029521508,0.034722864627838135,0.029521504417061806,0.0067489045,0.022772603,False,0.0031995466,0.026321962,False,success
97,98,ae2_lat50_hd1_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.5,1,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.02952959,0.037542350590229034,0.029643647372722626,0.0067489045,0.022780687,False,0.0031995466,0.026330043,False,success
166,167,ae3_lat25_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.25,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.029530782,0.03757750988006592,0.029530776664614677,0.0067489045,0.022781879,False,0.0031995466,0.026331235,False,success
81,82,ae2_lat25_hd2_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.25,2,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.02968158,0.04958943650126457,0.030145389959216118,0.0067489045,0.022932675,False,0.0031995466,0.026482034,False,success
